No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time
210,150,0,PinkNoise,3D_Based,2,136.9001,0.09960938,3.135498
211,0,0,Footstep,3D_Based,1,-3.149841,1.449615,7.053101
212,150,30,Footstep,3D_Based,2,-139.5499,-1.100388,4.630615
213,60,0,Footstep,DL_Based,4,66.70017,28.79962,6.791748
214,120,30,PinkNoise,3D_Based,2,-126.0498,23.99963,5.930908
215,150,0,PinkNoise,DL_Based,5,-136.0998,-1.850384,3.813232
216,150,0,PinkNoise,DL_Based,2,170.0002,-1.300384,2.016602
217,30,30,PinkNoise,DL_Based,3,-5.19986,0.3995972,5.802612
218,180,30,Footstep,3D_Based,5,178.0501,-1.10041,6.720459
219,60,0,PinkNoise,DL_Based,2,-44.74985,-1.200411,4.27124
220,120,30,Footstep,Generic,4,134.3501,-0.8504089,5.908081
221,120,30,PinkNoise,DL_Based,2,173.3501,-1.200409,3.803589
222,60,0,Footstep,3D_Based,1,-58.84985,31.2496,13.01465
223,150,0,Footstep,Generic,5,-159.6999,-0.4503893,6.778564
224,120,0,Footstep,3D_Based,4,113.1501,1.949615,5.77356
225,180,0,Footstep,3D_Based,1,174.9501,-0.9003981,4.19043
226,60,30,PinkNoise,3D_Based,2,56.2001,29.59961,3.053345
227,120,0,Footstep,Generic,2,-124.6499,33.34961,6.229736
228,150,30,PinkNoise,Generic,4,-136.4499,-1.800403,2.494141
229,180,0,PinkNoise,Generic,3,173.4001,0.1495972,2
230,30,30,PinkNoise,Generic,4,37.00011,0.09960938,3.106445
231,180,30,PinkNoise,3D_Based,2,-173.7499,31.6496,3.402344
232,0,0,Footstep,Generic,1,-2.299927,-2.000401,5.483276
233,60,0,Footstep,Generic,5,-66.84988,-1.300407,4.960205
234,90,30,PinkNoise,DL_Based,3,-75.24991,-1.450409,4.525757
235,180,0,PinkNoise,DL_Based,1,177.9501,-0.3004119,4.014404
236,120,0,PinkNoise,DL_Based,5,-99.69989,-1.000412,4.798462
237,180,30,PinkNoise,3D_Based,4,165.0002,30.4996,3.801392
238,60,30,Footstep,DL_Based,2,45.00009,-0.5004259,6.98938
239,60,30,Footstep,DL_Based,1,-45.04993,-2.050426,4.160767
240,150,0,Footstep,DL_Based,3,157.8001,-1.850428,6.769043
241,90,0,PinkNoise,DL_Based,3,95.50006,-0.4504236,3.954712
242,180,30,PinkNoise,Generic,2,171.5001,30.24957,2.89978
243,90,0,PinkNoise,Generic,3,-96.19989,24.84958,3.092041
244,60,0,Footstep,Generic,3,-63.69995,-1.850423,4.080322
245,90,0,PinkNoise,3D_Based,4,-104.0999,26.8996,2.561401
246,0,0,PinkNoise,DL_Based,2,3.05004,0.199585,5.619385
247,60,30,PinkNoise,Generic,1,58.20004,22.44958,5.547729
248,0,0,PinkNoise,3D_Based,5,-6.699951,25.49957,2.796997
249,30,30,PinkNoise,Generic,1,-40.99994,24.74957,2.456177
250,90,30,Footstep,Generic,4,89.25004,20.04956,5.735718
251,30,0,Footstep,Generic,2,34.40002,1.199554,4.895874
252,150,0,PinkNoise,DL_Based,3,-139.05,0.2495422,4.748169
253,60,30,PinkNoise,Generic,5,-59.84995,27.09955,4.615112
254,30,0,PinkNoise,3D_Based,1,-44.84995,24.39957,1.866943
255,90,30,Footstep,DL_Based,1,122.1001,27.94955,5.579346
256,180,0,Footstep,DL_Based,3,-171.95,-2.600461,6.505005
257,150,0,Footstep,3D_Based,1,133.95,-2.200461,2.818481
258,30,30,Footstep,3D_Based,4,-40.89996,26.79953,7.520508
259,150,30,Footstep,DL_Based,5,165.6501,2.199524,6.733887
260,90,30,Footstep,3D_Based,5,83.00005,-1.90047,3.963257
261,120,0,Footstep,DL_Based,1,133.7501,-1.000476,4.987915
262,90,0,PinkNoise,Generic,1,83.15008,28.29953,2.548096
263,0,30,Footstep,3D_Based,1,-6.499939,-2.350481,5.439575
264,90,0,PinkNoise,Generic,4,-93.89999,23.84952,7.086792
265,150,30,PinkNoise,3D_Based,4,-162.85,31.64951,3.337769
266,90,30,PinkNoise,DL_Based,2,92.45001,34.14948,6.730713
267,60,0,PinkNoise,DL_Based,1,-41.59998,-0.8005081,8.376953
268,30,0,PinkNoise,Generic,3,43.70001,27.99948,5.280029
269,120,0,Footstep,3D_Based,2,-134.3,0.04946899,10.99414
270,0,30,PinkNoise,Generic,2,5.000038,-2.150529,7.360107
271,90,30,Footstep,Generic,1,-90.79999,-1.90054,4.844727
272,180,30,PinkNoise,3D_Based,1,-179.65,30.34946,2.409912
273,30,30,Footstep,Generic,2,44.59996,25.34946,6.830322
274,30,0,PinkNoise,3D_Based,4,42.94997,27.14948,3.021973
275,180,30,PinkNoise,Generic,3,-179.55,33.29947,3.98291
276,180,30,Footstep,DL_Based,3,-160.0501,-1.200529,6.054932
277,90,30,Footstep,3D_Based,3,-92.35007,-2.75053,4.058105
278,30,0,Footstep,DL_Based,3,0.7999545,-1.950534,6.906616
279,150,30,Footstep,DL_Based,3,-137.5001,-1.40053,5.177612
280,60,0,PinkNoise,3D_Based,5,45.49995,-2.250529,5.960693
281,180,30,Footstep,Generic,2,-177.3001,-1.800529,6.008789
282,180,0,Footstep,3D_Based,3,-179.4,-1.600529,5.059692
283,0,30,Footstep,3D_Based,3,-0.9500427,19.09949,7.401978
284,90,0,Footstep,Generic,3,-89.95007,0.5994873,6.871094
285,180,0,PinkNoise,3D_Based,4,-178.6,0.1494751,4.752319
286,180,0,Footstep,Generic,4,-178.45,-0.3005323,5.308838
287,90,30,PinkNoise,DL_Based,5,57.29996,1.349457,3.400757
288,0,0,Footstep,3D_Based,5,2.249965,-2.850532,5.425903
289,30,0,Footstep,3D_Based,3,40.34993,0.6994629,3.747437
290,120,0,PinkNoise,DL_Based,1,-95.35004,-3.15052,5.108643
291,30,30,Footstep,3D_Based,1,-45.65002,-2.450523,4.258423
292,90,0,Footstep,Generic,1,89.79996,-0.4005263,4.202637
293,60,0,PinkNoise,Generic,1,-48.55005,26.04947,5.378174
294,120,30,PinkNoise,Generic,4,131.25,28.74948,6.433716
295,60,0,PinkNoise,Generic,4,-49.19998,27.54947,6.513184
296,150,0,Footstep,3D_Based,5,-149.6,1.249451,5.265625
297,60,30,PinkNoise,3D_Based,5,45.00002,31.94946,4.834473
298,180,0,PinkNoise,DL_Based,5,-170.75,0.8994446,7.026245
299,120,0,Footstep,3D_Based,1,135.35,0.7994385,4.480713
300,60,0,Footstep,DL_Based,2,-47.19995,-0.5505582,6.326416
301,60,30,PinkNoise,DL_Based,4,-46.64993,-1.800557,4.093628
302,180,30,PinkNoise,DL_Based,1,-172.3499,-2.200557,4.146362
303,90,30,Footstep,DL_Based,2,91.15009,-1.500558,4.259399
304,150,0,Footstep,3D_Based,4,140.9001,-3.600566,6.638794
305,90,0,Footstep,3D_Based,1,-91.79984,-2.350574,5.924316
306,60,30,Footstep,Generic,2,-49.64981,31.74942,5.196167
307,60,0,Footstep,Generic,2,51.35017,-1.800578,4.166748
308,180,0,PinkNoise,DL_Based,2,177.6002,-2.400579,4.690796
309,30,30,PinkNoise,Generic,3,19.80018,28.74942,5.216187
310,0,0,Footstep,DL_Based,5,2.650188,-0.7005816,4.911865
311,150,30,PinkNoise,DL_Based,2,176.6002,-3.900585,5.356934
312,90,0,PinkNoise,DL_Based,1,-90.84979,-3.650587,4.124023
313,0,0,Footstep,DL_Based,3,5.050229,-1.000593,6.481567
314,30,0,PinkNoise,Generic,5,28.75024,-2.650594,5.830566
315,120,30,Footstep,Generic,3,131.9003,1.949402,5.627686
316,60,0,PinkNoise,Generic,2,-45.94971,27.3494,4.528687
317,0,30,PinkNoise,3D_Based,1,-12.04971,27.49939,3.890015
318,150,30,Footstep,Generic,1,-155.7497,30.79941,6.441284
319,30,30,PinkNoise,DL_Based,5,44.20029,-0.8006036,5.337524
320,60,30,PinkNoise,DL_Based,2,78.10028,0.9993896,3.704712
321,30,0,PinkNoise,DL_Based,4,-31.34973,0.3493958,4.485474
322,0,0,PinkNoise,Generic,3,-7.049713,-2.050599,2.694824
323,60,30,PinkNoise,DL_Based,3,-48.64972,0.1994019,3.01001
324,90,0,PinkNoise,Generic,5,92.70032,-0.8006026,4.909912
325,90,30,PinkNoise,3D_Based,2,87.85033,25.6994,3.230469
326,60,0,Footstep,Generic,1,45.30029,-0.200611,4.612183
327,30,0,PinkNoise,3D_Based,5,-43.69974,23.5994,4.455322
328,180,30,Footstep,DL_Based,5,174.8003,0.1493835,5.507813
329,120,30,Footstep,Generic,2,131.2003,0.09939575,5.670166
330,150,0,Footstep,3D_Based,2,-143.1497,0.4494019,6.52063
331,90,30,Footstep,3D_Based,4,-88.64978,24.3494,4.463135
